Borough,Year,Month,Rate
Manhattan,2020,August,71.89
Manhattan,2020,September,98.85
Manhattan,2020,October,213.6
Manhattan,2020,November,561.49
Manhattan,2020,December,906.36
Manhattan,2021,January,1641.55
Manhattan,2021,February,1023.69
Manhattan,2021,March,997.28
Manhattan,2021,April,663.78
Manhattan,2021,May,194.95
Manhattan,2021,June,58.02
Manhattan,2021,July,340.52
Manhattan,2021,August,595.01
Manhattan,2021,September,549.96
Manhattan,2021,October,410.02
Manhattan,2021,November,425.43
Manhattan,2021,December,4346.95
Manhattan,2022,January,7384.64
Manhattan,2022,February,467.18
Manhattan,2022,March,489.15
Manhattan,2022,April,517.77
Bronx,2020,August,114.72
Bronx,2020,September,104.85
Bronx,2020,October,234.03
Bronx,2020,November,637.14
Bronx,2020,December,1203.85
Bronx,2021,January,2599.98
Bronx,2021,February,1612.67
Bronx,2021,March,1314.83
Bronx,2021,April,899.86
Bronx,2021,May,316.81
Bronx,2021,June,85.33
Bronx,2021,July,256.17
Bronx,2021,August,589.9
Bronx,2021,September,516.36
Bronx,2021,October,368.35
Bronx,2021,November,293.89
Bronx,2021,December,2906.34
Bronx,2022,January,9684.28
Bronx,2022,February,275.06
Bronx,2022,March,125.93
Bronx,2022,April,130.87
Brooklyn,2020,August,82.77
Brooklyn,2020,September,151.14
Brooklyn,2020,October,323.18
Brooklyn,2020,November,547.4
Brooklyn,2020,December,1159.68
Brooklyn,2021,January,2185.63
Brooklyn,2021,February,1280.75
Brooklyn,2021,March,1278.21
Brooklyn,2021,April,949.46
Brooklyn,2021,May,328.37
Brooklyn,2021,June,63.91
Brooklyn,2021,July,321.69
Brooklyn,2021,August,644.47
Brooklyn,2021,September,616.7
Brooklyn,2021,October,578.66
Brooklyn,2021,November,457.2
Brooklyn,2021,December,3479.9
Brooklyn,2022,January,8524.14
Brooklyn,2022,February,408.64
Brooklyn,2022,March,274.07
Brooklyn,2022,April,276.96
Queens,2020,August,78.98
Queens,2020,September,104.09
Queens,2020,October,258.57
Queens,2020,November,610.47
Queens,2020,December,1308.6
Queens,2021,January,2500.11
Queens,2021,February,1351.81
Queens,2021,March,1412.78
Queens,2021,April,996.57
Queens,2021,May,312.14
Queens,2021,June,66.38
Queens,2021,July,266.17
Queens,2021,August,565.38
Queens,2021,September,491.56
Queens,2021,October,389.07
Queens,2021,November,405.83
Queens,2021,December,3056.89
Queens,2022,January,9339.76
Queens,2022,February,349.13
Queens,2022,March,181.52
Queens,2022,April,213.46
Staten Island,2020,August,80.43
Staten Island,2020,September,139.23
Staten Island,2020,October,389.39
Staten Island,2020,November,1263.27
Staten Island,2020,December,2177.92
Staten Island,2021,January,3287.25
Staten Island,2021,February,1457.55
Staten Island,2021,March,1716.71
Staten Island,2021,April,1377.73
Staten Island,2021,May,466.04
Staten Island,2021,June,136.08
Staten Island,2021,July,493.34
Staten Island,2021,August,954.53
Staten Island,2021,September,892.59
Staten Island,2021,October,703.99
Staten Island,2021,November,595.83
Staten Island,2021,December,3728.29
Staten Island,2022,January,10396.88
Staten Island,2022,February,492.29
Staten Island,2022,March,233.76
Staten Island,2022,April,277.23
City,2020,August,84.93
City,2020,September,119.65
City,2020,October,272.92
City,2020,November,623.35
City,2020,December,1216.13
City,2021,January,2297.77
City,2021,February,1316.3
City,2021,March,1290.99
City,2021,April,922.4
City,2021,May,303.81
City,2021,June,71.19
City,2021,July,309.01
City,2021,August,621.86
City,2021,September,568.51
City,2021,October,465.84
City,2021,November,417.25
City,2021,December,3451.55
City,2022,January,8826.34
City,2022,February,386.05
City,2022,March,263.57
City,2022,April,282